"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-let-7a-3p",235.965315538622,-0.431515238315687,0.7559961509944,-0.570790258320884,0.568141827227621,0.9954112309327
"hsa-let-7a-5p/7c-5p",75748.8847360441,-0.104676552814629,0.285719354906126,-0.366361434803816,0.714095392850837,0.9954112309327
"hsa-let-7b-3p",130.610664889777,0.0179912908230585,0.833464771836295,0.0215861442870824,0.982778086214949,0.9954112309327
"hsa-let-7b-5p",18252.3186959866,0.174233953973255,0.329762045243021,0.528362667828712,0.597247643414712,0.9954112309327
"hsa-let-7d-3p",2622.39453089345,-0.129412584953359,0.472441880405393,-0.27392276239844,0.784143978513678,0.9954112309327
"hsa-let-7d-5p",4553.66905723969,0.0253432129994746,0.461457484253238,0.0549199305771077,0.956202253536289,0.9954112309327
"hsa-let-7e-5p",2408.486649089,0.299108181454969,0.476655235167665,0.627514730536331,0.530321883368269,0.9954112309327
"hsa-let-7f-1-3p",23.4217859076502,0.613457931194584,1.32284510128874,0.463741318312281,0.64283309063113,0.9954112309327
"hsa-let-7f-2-3p",110.236987427658,0.227649951864656,1.08796409411691,0.209243993524839,0.834257770592656,0.9954112309327
"hsa-let-7f-5p",139926.885611733,-0.237425661133993,0.369066142294884,-0.6433146634846,0.520019943408668,0.9954112309327
"hsa-let-7g-3p",39.917388888606,-0.0343965790181953,0.839395629141988,-0.0409777914299539,0.967313600859436,0.9954112309327
"hsa-let-7g-5p",30393.4420907613,-0.243016251962876,0.342499790654102,-0.709536935770869,0.47799133903333,0.9954112309327
"hsa-let-7i-3p",317.550821603358,0.311902531255954,0.559040030656853,0.557925218502653,0.576895450123713,0.9954112309327
"hsa-let-7i-5p",146752.613116199,-0.169655955831479,0.283748469647577,-0.597909676983265,0.549900202569363,0.9954112309327
"hsa-miR-100-5p",1148.94453551186,0.682623933510721,0.625113831853336,1.09199940671106,0.274833361954763,0.9954112309327
"hsa-miR-101-3p",272091.065837342,-0.182872498246692,0.325259887271002,-0.562235016992197,0.573955906333519,0.9954112309327
"hsa-miR-101-5p",204.761727135821,-0.0523971212369095,0.553357957555094,-0.0946893787674368,0.924561554585811,0.9954112309327
"hsa-miR-10399-3p",266.583186407226,-0.336306405269932,0.988784643226489,-0.34012098344543,0.733765420275665,0.9954112309327
"hsa-miR-10399-5p",129.476021899619,-0.357243705838981,0.52255586865018,-0.683646911787215,0.494198154095964,0.9954112309327
"hsa-miR-103a-3p/107",264012.635653106,-0.127526906771727,0.381668853723007,-0.334129718806656,0.738281675161738,0.9954112309327
"hsa-miR-10527-5p",23.6514832276064,-0.179605802039834,0.960219601030053,-0.187046590016665,0.851624103959566,0.9954112309327
"hsa-miR-106a-3p",21.4292972446989,0.27373687958889,0.876826681180838,0.312190408280282,0.754895821175545,0.9954112309327
"hsa-miR-106a-5p/17-5p",1449.8986006931,-0.108336288226144,0.554019141108925,-0.195546110571735,0.844965443332804,0.9954112309327
"hsa-miR-106b-3p",24288.805913002,-0.477359636761272,0.488097940743108,-0.9779996941485,0.32807447535416,0.9954112309327
"hsa-miR-106b-5p",4806.58173885107,-0.110945326091967,0.43621349043561,-0.254337219101535,0.799235048249088,0.9954112309327
"hsa-miR-10a-3p",14.3798438464895,0.765854520880752,0.845578656223569,0.905716476218934,0.365085939432848,0.9954112309327
"hsa-miR-10a-5p",41056.918167266,0.00430407675003987,0.411513264786115,0.0104591446214423,0.991654962136728,0.9954112309327
"hsa-miR-10b-3p",6.11526886628589,1.86839459047937,1.20342578292891,1.55256320496312,0.120527521841816,0.9954112309327
"hsa-miR-10b-5p",211340.152437423,-0.108532616034566,0.493755155978793,-0.219810597864881,0.826018665582636,0.9954112309327
"hsa-miR-11400",29.6639447937546,-0.320744023250055,1.94681709618107,-0.164753034005729,0.869138372194868,0.9954112309327
"hsa-miR-11401",84.105113444716,0.792181197777547,0.718117896914984,1.10313529460933,0.269968415559666,0.9954112309327
"hsa-miR-1180-3p",162.863928299368,0.482561579187211,0.487206290249726,0.990466643893012,0.321946085177718,0.9954112309327
"hsa-miR-1185-1-3p/1185-2-3p",5.84963146987384,-0.572998148159944,2.06230467847242,-0.277843596119062,0.78113242336421,0.9954112309327
"hsa-miR-12136",15.3937976919713,0.802644883449315,0.959902840372369,0.836173047615892,0.403057558666264,0.9954112309327
"hsa-miR-122-5p",1489.95093525825,1.03382249153849,0.80994225315591,1.2764150623211,NA,NA
"hsa-miR-1224-5p",12.7635054828264,-0.303162184427784,1.6087808939792,-0.188442183495811,0.850530034329102,0.9954112309327
"hsa-miR-1255a",13.3629289334825,0.357334887070955,1.39980357923837,0.255275020274902,0.798510691881565,0.9954112309327
"hsa-miR-1255b-5p",71.9715698380387,0.503222161944692,0.510637772372872,0.985477747966587,0.324389456366923,0.9954112309327
"hsa-miR-1256-3p",2.99335613101672,3.14181008049865,1.93646702830893,1.62244439722907,0.104708229484762,0.9954112309327
"hsa-miR-125a-3p",6.69090697248832,-0.872609922924349,2.14770467621053,-0.406298842010256,0.684523036139779,0.9954112309327
"hsa-miR-125a-5p",768.914229454985,0.345313674941611,0.435014550541361,0.79379798793369,0.427313044195472,0.9954112309327
"hsa-miR-125b-1-3p",49.7346462158062,0.994371614106167,0.983725989516368,1.01082173766196,0.312101757098787,0.9954112309327
"hsa-miR-125b-2-3p",601.240127663212,0.045588903998425,0.854820344206964,0.0533315617806439,NA,NA
"hsa-miR-125b-5p",333.329632049035,0.13169014502461,0.680815655790838,0.193429959937743,0.84662225383421,0.9954112309327
"hsa-miR-126-3p",5020.07892769984,0.417595563556143,0.310946743001992,1.34298098614742,0.179278130692274,0.9954112309327
"hsa-miR-126-5p",28902.9962414155,0.172148418739355,0.479820857451958,0.358776439301811,0.719762339529436,0.9954112309327
"hsa-miR-1262",9.36783331795383,0.724139422153135,1.97259513921707,0.367099871512687,0.713544523131185,0.9954112309327
